name,ssn,dob,phone,email,address,mrn,diagnosis,insurance_id,source
Lavern240 Rona40 Murphy561,999-88-1191,2006-01-07,569-500-4579,erhardwiek@example.com,"785 Koelpin Brook Suite 42, Newton, Massachusetts 02460",MRN-5E534F,Childhood asthma (disorder),INS-908157894,synthea
Boris111 Bret7 Kohler843,999-64-5773,2008-07-14,774-970-1144,cesarvaldez@example.org,"807 Deckow Underpass Suite 57, Braintree, Massachusetts 02184",MRN-78E75F,Medication review due (situation),INS-223181755,synthea
Jacklyn830 Diane211 Abbott774,999-51-8000,2001-10-24,446-857-4994,timothywilliams@example.org,"504 Hahn Burg Apt 66, Northbridge, Massachusetts 00000",MRN-3E492B,Perennial allergic rhinitis (disorder),INS-142817871,synthea
Joi660 Sharolyn456 Shields502,999-59-3474,2001-02-20,316-595-5203,jaquelinemaya@example.com,"568 Wilderman Frontage road Unit 15, Boylston, Massachusetts 00000",MRN-CD00E7,Medication review due (situation),INS-680075399,synthea
Khadijah960 Etsuko685 Bergnaum523,999-63-7611,2018-11-14,729-988-7143,gbaehr@example.com,"279 Zemlak Mews Suite 99, New Bedford, Massachusetts 02740",MRN-AC8B81,Medication review due (situation),INS-652235149,synthea
Angel97 Dickinson688,999-40-9319,2004-05-26,698-244-5856,staudeinna@example.net,"623 Kohler Common, Natick, Massachusetts 00000",MRN-6ABA79,Perennial allergic rhinitis (disorder),INS-799573076,synthea
Columbus656 Blick895,999-19-6412,2001-12-01,284-298-3742,benthinhans-werner@example.net,"546 Kovacek Quay, Plymouth, Massachusetts 02360",MRN-69E77A,Medication review due (situation),INS-930344435,synthea
Dane516 Mohammad578 Prohaska837,999-43-4825,1996-06-09,841-267-4453,jeromehenry@example.com,"155 Gislason Divide, Hancock, Massachusetts 00000",MRN-6B5310,Only received primary school education (finding),INS-819766863,synthea
Antione404 Landon622 Walsh511,999-91-5734,2014-10-22,306-410-9810,jzynynafe@example.org,"766 Jacobson Promenade, Sandisfield, Massachusetts 00000",MRN-C9910C,Medication review due (situation),INS-989862107,synthea
Trey250 Brooks264 Hodkiewicz467,999-95-6487,1996-04-25,964-902-3519,gerfriedreising@example.org,"135 Maggio Brook, Boston, Massachusetts 02163",MRN-66CBAD,Chronic pain (finding),INS-125504528,synthea
Millie392 Bernhard322,999-34-8656,2012-01-16,289-275-1889,ebd-alhlym85@example.net,"170 Hermiston Bypass Apt 57, Billerica, Massachusetts 00000",MRN-564606,Medication review due (situation),INS-291117627,synthea
Francisca486 Godoy454 Rosales49,999-57-5240,1987-10-17,788-433-5237,marthagutknecht@example.net,"1038 Runolfsson Pathway Suite 9, Peabody, Massachusetts 01940",MRN-926CC5,Risk activity involvement (finding),INS-537692362,synthea
Lawanna610 King743 Heaney114,999-46-4814,1988-01-15,643-523-1276,juan54@example.com,"903 Cole Avenue Unit 27, Revere, Massachusetts 02151",MRN-6C8727,Educated to high school level (finding),INS-518224445,synthea
Laurene370 Hermiston71 Deckow585,999-53-2246,1983-10-06,206-856-2036,shannon79@example.net,"297 Nienow Flat Apt 87, North Attleborough, Massachusetts 00000",MRN-0FF05C,Adolescent idiopathic scoliosis (disorder),INS-911706504,synthea
Vikki110 Donnelly343 Block661,999-21-2455,1958-02-19,917-274-6860,lalmmlwk@example.org,"183 Yost Neck Unit 59, Brockton, Massachusetts 02302",MRN-B8F6A8,Housing unsatisfactory (finding),INS-639917068,synthea
Doug189 Tad831 Ebert178,999-99-4825,1973-07-22,821-288-5612,vballard@example.org,"992 Bahringer Bridge Suite 34, West Stockbridge, Massachusetts 00000",MRN-247DFA,Chronic sinusitis (disorder),INS-921706952,synthea
Delmer311 Emil691 Moore224,999-33-8170,1996-12-25,876-231-8765,yuridia39@example.com,"564 Sawayn Camp, Newton, Massachusetts 02462",MRN-684F60,Adolescent idiopathic scoliosis (disorder),INS-267851051,synthea
Everett935 Hickle134,999-38-2470,1976-01-20,964-600-9941,pcui@example.net,"294 Klocko Bypass, Andover, Massachusetts 01810",MRN-84115D,Housing unsatisfactory (finding),INS-416730716,synthea
Agustín529 Roberto515 Montoya249,999-50-4800,1981-09-23,893-946-7113,mariano80@example.com,"614 Jaskolski Ramp Apt 81, Chicopee, Massachusetts 01013",MRN-C82234,Risk activity involvement (finding),INS-111972445,synthea
Jimmie93 Muller251 Goodwin327,999-96-4239,1995-08-25,326-242-1082,mariadalton@example.org,"740 Simonis Landing, Weymouth, Massachusetts 02191",MRN-20F1B7,Received higher education (finding),INS-714951911,synthea
Antionette825 Shamika26 Ledner144,999-54-3490,2001-10-24,760-287-5992,utschentscher@example.com,"457 Bednar Divide Unit 28, Northbridge, Massachusetts 00000",MRN-A7D863,Medication review due (situation),INS-325542573,synthea
Lucas404 Esteban536 Ornelas92,999-66-6684,2012-04-28,622-861-9397,songuelnoack@example.com,"129 Heathcote Bridge, West Dennis, Massachusetts 02670",MRN-6D5B1F,Otitis media (disorder),INS-252960017,synthea
Glenn0 Cormier289 Koss676,999-10-2448,1969-04-06,831-458-4183,shyaamaa31@example.net,"464 Greenholt Path Apt 98, Somerville, Massachusetts 02145",MRN-CD6115,Risk activity involvement (finding),INS-223075021,synthea
Angelo118 Wunsch504,999-20-3037,1965-04-13,969-762-8557,farrellchristine@example.org,"573 Wolff Trafficway, Lawrence, Massachusetts 01843",MRN-DE8F1A,Educated to high school level (finding),INS-792213989,synthea
Isabel214 Griego535 Padrón382,999-58-4167,1967-06-21,887-268-5107,liuqiang@example.com,"494 Connelly Gardens, Pittsfield, Massachusetts 01201",MRN-6E95A2,Adolescent idiopathic scoliosis (disorder),INS-205444031,synthea
Christi444 Risa429 Gleason633,999-98-7447,2000-11-07,538-565-3100,ramyalbysar-alqeqwr@example.com,"915 Kuhic Bay, Framingham, Massachusetts 01701",MRN-2D8777,Childhood asthma (disorder),INS-820798124,synthea
Odell776 Bernie827 Dibbert990,999-68-1603,1990-05-13,491-834-2143,dulcenieves@example.org,"961 Kemmer Road Unit 27, Methuen, Massachusetts 01844",MRN-2015DD,Received higher education (finding),INS-307767506,synthea
Caleb651 Gaylord332 Reinger292,999-92-9017,1955-05-23,536-831-6008,bzeng@example.com,"391 Olson Landing Unit 1, East Dennis, Massachusetts 02641",MRN-5268EA,Received higher education (finding),INS-844594995,synthea
Madelaine318 Kirlin939 Williamson769,999-42-6226,1970-12-01,523-638-3762,turnerjose@example.org,"350 Collier Vista, Belchertown, Massachusetts 01007",MRN-7A9754,Received higher education (finding),INS-105188198,synthea
Mckinley734 Royal919 Ward668,999-10-4044,2023-02-19,929-957-8145,beardsarah@example.org,"653 Smith Course Apt 48, Springfield, Massachusetts 01199",MRN-FF2F0F,Medication review due (situation),INS-397082704,synthea
Agustin437 Miller503,999-17-5191,1982-01-10,895-950-6432,millerjimmy@example.net,"662 Emmerich Course Suite 20, Nahant, Massachusetts 01908",MRN-6F982F,Serving in military service (finding),INS-615346649,synthea
Dolores502 Antonia30 Saiz247,999-80-3620,2018-04-29,993-512-8978,ebd-alrhmn09@example.com,"558 Effertz Trace, Springfield, Massachusetts 01020",MRN-8E2CEF,Medication review due (situation),INS-692353117,synthea
Curt84 Adolfo777 Oberbrunner298,999-24-3086,1960-03-13,487-343-9824,jasonsanders@example.com,"671 Olson Overpass Suite 41, Hanson, Massachusetts 02341",MRN-BDC676,Adolescent idiopathic scoliosis (disorder),INS-310917183,synthea
Arden380 Terrance440 Monahan736,999-10-6103,2012-06-15,944-277-1305,jimenezmaria@example.com,"753 Lesch Rapid, Westwood, Massachusetts 00000",MRN-A9B0DE,Medication review due (situation),INS-644578566,synthea
Darcey370 Botsford977 Hansen121,999-12-4987,1956-06-15,987-804-4485,velazquezbenjamin@example.net,"775 Roberts Trafficway Unit 49, Worcester, Massachusetts 01606",MRN-8B9672,Received higher education (finding),INS-139359410,synthea
Gerri75 Cruickshank494 McCullough561,999-97-1592,1953-03-29,752-683-3435,jennifer73@example.com,"659 Satterfield Course Apt 72, Wellesley, Massachusetts 02481",MRN-061A53,Received higher education (finding),INS-492794766,synthea
Emile522 Richie600 Bins636,999-82-5718,1977-08-22,337-675-9210,sylvia33@example.net,"213 Okuneva Run, Holyoke, Massachusetts 01040",MRN-4A468B,Educated to high school level (finding),INS-648050705,synthea
Cleopatra935 Bruen238 Mills423,999-56-6632,1977-12-04,714-210-4913,seipbaldur@example.net,"863 Predovic Junction, Braintree, Massachusetts 02184",MRN-373BE8,Educated to high school level (finding),INS-966015789,synthea
Mauro926 Richie600 Smitham825,999-61-2283,1968-08-05,975-726-3299,ozorbach@example.net,"382 Lind Brook, Boston, Massachusetts 02110",MRN-3DD50E,Risk activity involvement (finding),INS-579125557,synthea
Kimberlee228 Wyman904 Lebsack687,999-89-3624,1969-05-15,953-949-8921,bnw-sed-bn-bkrfhd@example.org,"247 Emmerich Estate, North Adams, Massachusetts 01247",MRN-D3BD81,Seizure disorder (disorder),INS-485253781,synthea
Andreas188 Devon268 Von197,999-22-6479,1981-10-25,437-264-5331,drshnaa78@example.org,"179 Schoen Pathway Suite 22, Turners Falls, Massachusetts 01376",MRN-0A6FCB,Received higher education (finding),INS-496678008,synthea
Cleo27 Fay398,999-73-2589,1970-02-13,730-569-7358,xia82@example.com,"299 Kirlin Bridge, Oxford, Massachusetts 01540",MRN-1AE279,Received higher education (finding),INS-604308858,synthea
Britney439 Daria61 Gottlieb798,999-35-3327,1931-05-27,864-531-2691,lmah29@example.com,"570 Balistreri Mill, Mansfield, Massachusetts 00000",MRN-ABE967,Educated to high school level (finding),INS-855631043,synthea
Noel608 Sang383 Predovic534,999-88-6341,1955-07-30,959-469-9918,xmeng@example.com,"800 Blanda Branch Unit 81, Fitchburg, Massachusetts 01420",MRN-A0A796,Chronic sinusitis (disorder),INS-712204801,synthea
Paul232 Ethan766 Lind531,999-34-6321,2006-07-26,574-801-2275,atorres@example.com,"704 Rath Street Unit 1, Dartmouth, Massachusetts 00000",MRN-F4C17C,Medication review due (situation),INS-654762561,synthea
Josef103 Homenick806,999-89-5729,2013-10-28,728-615-6781,schleichjanus@example.org,"824 Berge Lock Apt 8, West Yarmouth, Massachusetts 02673",MRN-5A800D,Medication review due (situation),INS-977501292,synthea
Allison818 Hiedi833 Koch169,999-54-9592,2000-03-23,693-818-1108,yang77@example.net,"266 D'Amore Esplanade, Billerica, Massachusetts 00000",MRN-FF64FA,Fracture of bone (disorder),INS-638843355,synthea
April374 Marti99 Little434,999-45-6404,1954-10-17,435-278-9430,hsybbyrqdar@example.net,"651 Eichmann Frontage road Apt 92, Melrose, Massachusetts 02176",MRN-1D73E5,Risk activity involvement (finding),INS-790928175,synthea
Cyrus914 Vicente970 Dare640,999-45-2091,1961-12-13,391-361-6934,frahbw-mdyn@example.net,"135 Beier Loaf, Cambridge, Massachusetts 02138",MRN-4F342D,Received higher education (finding),INS-746414349,synthea
Carylon722 Eichmann909 DuBuque211,999-88-5726,1939-11-29,624-538-2856,wlydalhaby@example.org,"825 Blanda Station, Lanesborough, Massachusetts 00000",MRN-51EAF4,Housing unsatisfactory (finding),INS-617024564,synthea
Sammy219 Monahan736 Hayes766,999-59-8374,1916-05-13,415-804-3641,aalhwa@example.org,"543 Rogahn Crossroad, Stow, Massachusetts 00000",MRN-A9E7E3,Risk activity involvement (finding),INS-794989306,synthea
Brady998 Felton646 Okuneva707,999-47-4292,2011-12-07,449-244-3095,blaasubrmaaniymhrendr@example.net,"729 Wunsch Pathway, Billerica, Massachusetts 00000",MRN-EF1D5D,Medication review due (situation),INS-715776454,synthea
Quincy153 Langworth352,999-36-3464,2004-05-02,844-724-1642,sarah23@example.net,"606 Rippin Center, Swansea, Massachusetts 00000",MRN-A31F97,Acute viral pharyngitis (disorder),INS-714469480,synthea
Lorri590 Priscilla527 Beer512,999-27-1824,1961-10-10,464-384-9464,mursy15@example.net,"369 Dicki Extension Apt 90, North Eastham, Massachusetts 02651",MRN-8EE4F7,Received higher education (finding),INS-535355406,synthea
Esteban536 Pablo44 Adorno791,999-18-7437,2000-12-30,936-945-5644,qwen@example.com,"1080 Wilkinson Trail, Lakeville, Massachusetts 00000",MRN-AB461A,Medication review due (situation),INS-192071758,synthea
Janeth814 Crona259,999-60-3163,2009-02-27,693-374-4594,cristina13@example.net,"208 Jaskolski Grove, Wellesley, Massachusetts 02457",MRN-9C788D,Perennial allergic rhinitis (disorder),INS-991596102,synthea
Marianna323 Inocencia535 Becker968,999-92-6242,1958-02-19,796-985-3979,salelmy@example.org,"413 Lang Way, Brockton, Massachusetts 02301",MRN-5E0AB1,Risk activity involvement (finding),INS-769168506,synthea
Katrice671 McGlynn426 Beier427,999-21-4216,1960-05-25,371-941-6614,frahydrstm@example.com,"486 McLaughlin Ville Apt 54, Yarmouth, Massachusetts 00000",MRN-0D3E2D,Housing unsatisfactory (finding),INS-586909856,synthea
Ronnie7 Sam879 Hilpert278,999-64-8513,1969-12-13,435-587-7315,malaveoliver@example.com,"421 Farrell Fort, Westborough, Massachusetts 01581",MRN-E81F3E,Risk activity involvement (finding),INS-241962842,synthea
Sherrie396 Steuber698 Kertzmann286,999-16-1986,1990-11-29,735-716-7877,xiayu@example.org,"990 Ritchie Gateway Unit 80, Seekonk, Massachusetts 00000",MRN-A046E0,Educated to high school level (finding),INS-987462850,synthea
Wally311 Turcotte120,999-27-4153,1998-02-21,381-687-1639,alemanangel@example.com,"248 Medhurst Gardens Apt 59, Tewksbury, Massachusetts 00000",MRN-AB10DD,Only received primary school education (finding),INS-941672107,synthea
Providencia986 Emard19 Parisian75,999-11-8724,1982-09-01,295-693-3135,jacobparsons@example.org,"293 Zboncak Underpass Apt 82, North Adams, Massachusetts 01247",MRN-628D2A,Impacted molars (disorder),INS-747975975,synthea
Jewell855 Morris740 White193,999-27-2295,1995-04-09,734-630-7068,shaun16@example.com,"726 Stehr Run, Boston, Massachusetts 02118",MRN-57E99C,Medication review due (situation),INS-146641502,synthea
Jeff859 Jermaine675 Muller251,999-39-3891,1963-05-10,434-693-7246,swlad-bwezyz@example.net,"563 West Track Suite 60, Medfield, Massachusetts 02052",MRN-10F554,Housing unsatisfactory (finding),INS-476365632,synthea
Virgil85 Wilmer32 Emmerich580,999-51-2790,1986-01-28,635-337-5170,na53@example.com,"810 Renner Stravenue Apt 73, Haverhill, Massachusetts 01832",MRN-D9B3F9,Risk activity involvement (finding),INS-612326496,synthea
Gretta175 Leighann368 Hodkiewicz467,999-59-8997,2021-06-16,490-812-9908,nschuster@example.net,"494 Rau Manor, Westborough, Massachusetts 01581",MRN-56ACD5,Medication review due (situation),INS-538781057,synthea
Nelson403 William805 Frami345,999-79-5873,1965-04-13,926-961-1116,frowland@example.com,"1006 Rempel Way, Lawrence, Massachusetts 01841",MRN-901C13,Risk activity involvement (finding),INS-720608968,synthea
Joesph309 Mitchel812 Auer97,999-66-6017,1968-02-12,207-584-4365,laiyan@example.com,"893 Durgan Approach, Methuen, Massachusetts 01844",MRN-215DD7,Adolescent idiopathic scoliosis (disorder),INS-838483906,synthea
Cory323 Israel728 Jenkins714,999-87-1247,1990-10-14,570-309-3535,loechelheidrun@example.net,"775 Hauck Well Unit 42, Somerville, Massachusetts 02155",MRN-FC1E09,Housing unsatisfactory (finding),INS-557490881,synthea
Anitra287 Rana586 Leuschke194,999-94-8729,1956-03-01,467-748-7939,sumnaa70@example.com,"410 Fadel Port Apt 21, Burlington, Massachusetts 01730",MRN-55A165,Risk activity involvement (finding),INS-706310053,synthea
Maranda920 Monahan736 Lueilwitz711,999-38-8044,1990-09-22,896-606-4337,fblake@example.com,"695 Beier Wall Suite 48, Weymouth, Massachusetts 02190",MRN-48F0F7,Received higher education (finding),INS-543700355,synthea
Ines699 Fisher429 Rau926,999-94-3951,1976-01-27,383-579-8925,dongjun@example.net,"460 Cronin Gateway Unit 47, Boston, Massachusetts 02118",MRN-A0B51A,Loss of teeth (disorder),INS-372491666,synthea
Bernardine460 Lehner980 Wilkinson796,999-94-4626,1985-07-03,992-922-7522,thqtz@example.net,"384 Jacobs Rest, Whitman, Massachusetts 00000",MRN-6C1A61,Received higher education (finding),INS-890040374,synthea
Vern731 Melvin857 Bode78,999-28-5591,2005-03-25,965-435-8317,xiuyingtang@example.org,"1066 Klocko Stravenue Suite 79, Dalton, Massachusetts 00000",MRN-3CED05,Atopic dermatitis (disorder),INS-940857164,synthea
Nancie476 Lemke654 Schaefer657,999-78-6002,1990-10-28,419-720-7562,xia73@example.net,"210 Kozey Green Apt 15, Waltham, Massachusetts 02453",MRN-6EDFD7,Received higher education (finding),INS-944048177,synthea
Neil122 Felton646 Schmidt332,999-23-2408,2025-06-12,364-598-1086,atzlerhedi@example.org,"585 Funk Parade, Westwood, Massachusetts 00000",MRN-F4ED7C,Medication review due (situation),INS-963685029,synthea
Billie243 Therese102 Schuppe920,999-13-6972,1973-12-20,814-645-2444,pilliibhrt@example.org,"622 Schaden Loaf Suite 72, Stoughton, Massachusetts 00000",MRN-7C6E6A,Chronic sinusitis (disorder),INS-168805869,synthea
Neil122 Weber641,999-18-6838,1964-08-05,281-823-1618,diipaaliidaasguptaa@example.net,"628 Runte Meadow Apt 59, Brookline, Massachusetts 02445",MRN-273A67,Housing unsatisfactory (finding),INS-877920274,synthea
Sarina640 Gloria696 Kreiger457,999-81-2572,1968-02-10,493-928-1941,irodrigues@example.net,"863 Kreiger Crossroad, Boston, Massachusetts 02108",MRN-05C8DE,Received higher education (finding),INS-930655747,synthea
Regan713 D'Amore443,999-34-2992,2026-01-12,649-210-4304,bkylyqyn@example.org,"172 Schimmel Skyway, New Bedford, Massachusetts 02744",MRN-CB0CAC,Medication review due (situation),INS-805324063,synthea
Jordan900 Volkman526,999-28-8948,1957-07-11,399-234-9364,calqtb@example.com,"634 Haag Haven Apt 95, Tewksbury, Massachusetts 00000",MRN-E33177,Educated to high school level (finding),INS-653850668,synthea
Pearlene638 Wan724 Casper496,999-45-7148,1939-11-29,890-236-6893,lopezolga@example.com,"987 Breitenberg Underpass Unit 94, Lanesborough, Massachusetts 00000",MRN-475EAE,Received higher education (finding),INS-356899846,synthea
Sharen57 Sanford861 Bode78,999-75-7403,1994-11-05,288-482-7544,striebitzgero@example.org,"1043 Wyman Green Apt 81, Tyngsborough, Massachusetts 00000",MRN-619254,Medication review due (situation),INS-479167941,synthea
Stewart672 Rolf983 Johnson679,999-50-3465,2013-08-27,800-405-9482,pruelas@example.org,"617 Hilpert Manor, Groton, Massachusetts 01450",MRN-71CB53,Medication review due (situation),INS-116499677,synthea
Glayds212 Kozey370 Boehm581,999-92-7538,1984-01-26,762-491-6703,larakohl@example.org,"277 Lubowitz Club Suite 21, Duxbury, Massachusetts 02332",MRN-0B7ED7,Received higher education (finding),INS-473098534,synthea
Adeline686 Quitzon246,999-95-5827,2005-12-25,820-399-8450,junmao@example.net,"737 Fadel Dale Suite 15, Wrentham, Massachusetts 00000",MRN-6D3AA9,Medication review due (situation),INS-533744956,synthea
Fidelia216 Waters156 Kilback373,999-26-4791,1993-04-08,379-616-9294,tcttrjii@example.com,"188 Cremin Forge, Abington, Massachusetts 02351",MRN-A671B8,Medication review due (situation),INS-214315878,synthea
Ethyl508 Dibbert990 Satterfield305,999-64-1677,1931-05-27,501-548-2917,aldlymsmyr@example.org,"887 Maggio Club, Mansfield, Massachusetts 00000",MRN-57C845,Risk activity involvement (finding),INS-962152669,synthea
Junior695 Altenwerth646,999-69-7579,1966-04-13,788-456-8254,quezadaitzel@example.com,"689 Goodwin Underpass Unit 33, Walpole, Massachusetts 02081",MRN-66C58A,Received higher education (finding),INS-504886868,synthea
Felipe97 Sancho742 Prado282,999-93-9294,1953-10-19,975-547-8517,tabw-eyd@example.net,"442 Lowe Light Apt 12, Lunenburg, Massachusetts 01462",MRN-05F179,Received higher education (finding),INS-831856709,synthea
Blair400 Jeff859 Haley279,999-53-3723,1978-01-09,693-319-5224,talya81@example.com,"643 Boyer Overpass, Springfield, Massachusetts 01105",MRN-805037,Housing unsatisfactory (finding),INS-172535838,synthea
Rosalia943 Urbina137 Cano735,999-61-4273,1975-10-16,893-918-4767,holstensuekrue@example.net,"1030 O'Reilly Alley Apt 28, Boston, Massachusetts 02115",MRN-AD809C,Received higher education (finding),INS-959166755,synthea
Rosario163 Pfannerstill264 Howell947,999-81-2510,1976-04-08,728-748-1159,ealjelyyn@example.org,"109 Kihn Mission, Northbridge, Massachusetts 00000",MRN-882266,Received higher education (finding),INS-852498189,synthea
Evelia928 Johnston597 Bruen238,999-77-6493,1976-01-27,494-295-7536,tao68@example.org,"793 Witting View, Boston, Massachusetts 02115",MRN-C15CAC,Risk activity involvement (finding),INS-823377624,synthea
Moshe758 Jackson413 O'Reilly797,999-43-2423,1978-01-09,767-382-8807,alvajavier@example.org,"574 Walsh Byway, Springfield, Massachusetts 01108",MRN-10B56C,History of appendectomy (situation),INS-437018334,synthea
Beaulah36 Goldner995 Koss676,999-37-4644,1939-11-29,387-964-4115,shobhaaahluuvaaliyaa@example.com,"683 Halvorson Bay, Lanesborough, Massachusetts 00000",MRN-62C6C6,Received higher education (finding),INS-635796460,synthea
Hunter736 Darryl392 Corkery305,999-48-6163,1955-07-30,953-447-5348,wade47@example.org,"1035 Kessler Park Apt 50, Fitchburg, Massachusetts 01420",MRN-29183D,Seizure disorder (disorder),INS-322026871,synthea
